#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
28500,-694811.5681077391,139613.39354596366,-555198.1745617754,298.45422553908463,592.9331424308677,103
29000,-694606.8928856128,139787.07189674833,-554819.8209888644,298.82550107619335,591.551187097423,103
29500,-694451.8758402863,138969.30027510796,-555482.5755651783,297.07733501700955,590.83125222812,103
30000,-696202.9161313982,140003.36893448106,-556199.5471969171,299.2878833967095,590.1839061053599,102
30500,-694136.4155095369,138878.61729588237,-555257.7982136544,296.88348027537666,589.2252826669584,102
31000,-693969.3935113656,139198.70024303743,-554770.6932683282,297.56772772238094,589.348463424856,102
31500,-695324.3819816597,140244.46038548916,-555079.9215961705,299.80326920939683,589.1110077591793,102
32000,-694552.4396749912,140053.91442933166,-554498.5252456595,299.3959354692004,588.50443638135,102
32500,-694500.5375153455,140324.81942614465,-554175.7180892008,299.97505426980365,586.7040938215445,102
33000,-694182.4571504304,139753.96794228954,-554428.4892081409,298.7547341186734,586.5191564085449,102
33500,-695230.396734714,140988.61864189897,-554241.7780928151,301.39407056773626,586.3706780146716,101
