#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
13000,-694952.9614880141,146033.35502710508,-548919.606460909,312.178300165306,540.3890571343222,91.6
13500,-694246.5015633595,145837.35721586423,-548409.1443474953,311.75931189007304,541.6613736402779,91.7
14000,-693096.6873581847,145620.02158599382,-547476.6657721909,311.29470935125096,542.1760631643373,91.8
14500,-692362.0266204001,145074.3875451492,-547287.639075251,310.1282970110593,541.354842039295,91.9
15000,-694189.0790029308,145151.15810981276,-549037.920893118,310.29241091760457,541.1122428047066,90.2
15500,-694496.4514578725,144935.68726367364,-549560.7641941989,309.83179476268293,540.3904029770392,90.3
16000,-693962.8009801661,145133.4717650454,-548829.3292151206,310.254602479631,540.4776982835037,90.3
16500,-693825.6896078847,144917.3958327335,-548908.2937751513,309.792692820408,542.3784374094972,89.5
17000,-694701.8975593015,144517.00727167676,-550184.8902876247,308.93677452439175,541.675395006444,88.9
17500,-695253.8431110852,143821.26251661748,-551432.5805944677,307.44946763520187,540.6398713709715,89
18000,-695362.0949636209,144385.38882063061,-550976.7061429903,308.6554112405698,540.1699670589326,89.1
18500,-695273.0018066801,144548.00852485717,-550724.9932818229,309.00304649711376,539.7470582015687,88.5
19000,-695232.2739232979,144393.091214391,-550839.1827089069,308.671876795243,540.649163733013,88.7
19500,-695595.1654340941,145395.58679144317,-550199.578642651,310.81493079211447,540.0934945000837,88.8
20000,-695232.1013727509,146062.28323422914,-549169.8181385219,312.24014054776615,539.4995871966588,88.3
20500,-694853.2691104156,144917.39112276916,-549935.8779876465,309.792682751827,539.3434613184711,88.5
21000,-695093.1890585716,145300.8296656406,-549792.359392931,310.6123666693077,539.8223986671409,88.6
21500,-694377.243146555,145079.77954542416,-549297.4636011309,310.13982359332556,540.284194935991,88.8
22000,-694451.9627574156,145412.26245900366,-549039.700298412,310.85057868606435,539.5515648991501,88.9
22500,-693963.4945340818,145025.7277480053,-548937.7667860765,310.02427603067474,539.8819262780623,89
23000,-693071.1043273625,145409.06778161216,-547662.0365457503,310.84374936301367,540.7391112540043,89.2
23500,-694861.6886167675,145050.40754983388,-549811.2810669336,310.0770345157608,540.3921260041153,89.3
24000,-695170.2598800431,145323.3437055658,-549846.9161744773,310.6604953636899,540.2148956919048,89.4
24500,-694172.1572912661,145357.7945813097,-548814.3627099565,310.7341416606399,538.9577009967838,89.6
25000,-694493.4764166535,144157.1823984324,-550336.2940182211,308.1675700007693,537.916102186008,88.8
25500,-694397.2607863406,143628.91483976116,-550768.3459465795,307.0382823221574,539.4448385379162,88.9
26000,-695514.125211508,145123.87121039385,-550390.2540011142,310.23407919006326,540.0988856981375,89
26500,-695249.2433093991,145364.3229000098,-549884.9204093893,310.74809737256857,539.3134963781699,89.2
27000,-694481.040786956,144884.02887214592,-549597.01191481,309.7213636296489,539.8422527059225,89.3
27500,-694160.2789437766,144745.1022851577,-549415.176658619,309.42437760364345,540.6820686163235,89.4
28000,-693620.6867723232,144154.44224339485,-549466.2445289283,308.16171231886057,540.425920862396,89.6
28500,-693635.1593466289,144140.56417438888,-549494.59517224,308.1320449049259,540.3960535298205,89.7
29000,-693791.4621849498,145266.17646271747,-548525.2857222323,310.5382878536712,539.9197433174102,89.8
29500,-693558.2616218645,146334.88160105224,-547223.3800208123,312.82287929787486,540.5501025521752,89.9
30000,-694337.2467751931,144319.63694406557,-550017.6098311276,308.5148521946248,541.0224163898323,89.6
30500,-694417.0463768048,144253.92707061846,-550163.1193061863,308.37438293954955,540.0424405233337,89.7
31000,-694553.1407178305,144351.44373384165,-550201.6969839889,308.5828461783566,539.2937965648644,89.8
31500,-695115.1535125878,144618.70611721452,-550496.4473953733,309.15417809443824,541.2367858925463,89.9
32000,-696492.3308390505,144732.9973051988,-551759.3335338517,309.39850055612646,540.1718607568806,90
